Groups,GUID,ADGRE5,MYLK,CDKN2A,CDK1,MCM4,HMGB2,MCM6,RNPS1,GBP1,MYL9,LCP1,CBR3,MCM3,AIF1,B2M,IL4I1,MCM2,KPNA2,FEN1,CD163,MCM7,SLMAP,ITGA5,SMTN,FABP3,NASP,PSMB9,MYL6,RBPMS,NIBAN1,MYH11,WARS1,MZB1,FOLR2,CTSC,ACADVL,NDUFA9,SUCLA2,THBS4,IGF2BP2,CLEC11A,PRPH,MYH7,ASPN,FMOD,COL12A1,OLFML3,TUBB2B,FBLN5,MB,CPXM1,KRT18,CKM,KRT19,KRT8,MYLPF,COMP,CALB2,MYL1,MYL2,EEF1A2,MYL3,THBS3,FDXR,MDK,MACROH2A2,CRABP1
OA,STS228,1.244497222,-2.599017095,0.317385697,0.393572407,-0.819811601,0.94794675,-0.512716367,0.334616665,-0.742965941,-2.79439702,1.170162793,1.69306275,-0.211676327,-0.265671194,1.516499398,1.764510472,-0.36675315,-0.025321401,-0.073377348,1.062599535,-0.059060738,-1.971327524,0.811848616,-0.373634915,1.533271389,0.183065699,0.512806787,-1.198218598,-2.827475335,0.678719875,-2.129930844,-0.294025583,-2.743785641,0.116178154,0.924361862,-0.088717129,0.263886328,-0.199581849,-1.891686271,0.703618321,0.119361775,-2.221496868,-0.480899043,-2.353640885,-1.217059078,-2.148024385,-1.678030626,-0.987163937,-1.160054404,-2.184377346,-2.119422338,0.575870685,-1.183115243,1.578096813,0.075740755,-3.058015824,-1.121523463,-2.821524054,-1.281749009,-1.767060847,0.233759303,-2.934245983,-1.701035063,0.588441156,0.155237934,1.288741653,2.641023931
OA,STS229,-1.370393953,0.76526293,-0.527479197,0.191346175,-0.398916127,-0.780996064,-0.533428661,-2.635973455,0.468789311,0.604247278,0.759929838,-0.036821661,-0.289269951,1.218521223,0.118612344,1.113344152,-0.550945936,-0.472022717,-0.393397813,-0.155887133,-0.274418461,-0.421548019,-0.192551076,0.279040588,-0.578957707,-0.788730629,1.191084156,0.012134772,0.735589533,-1.340311923,0.675372801,1.026262582,4.280830367,0.326830203,1.239886492,1.896558951,1.256981922,0.003498212,-0.975511985,-0.053478191,-1.149670855,-2.061263077,4.624993239,-0.719039034,-0.76012726,-1.805800223,-1.158051115,-2.438830295,1.007645019,-2.236737979,-0.657294426,4.812870466,-2.722013151,2.920269073,5.103729405,-0.200172508,-1.11600947,-2.113107924,-4.691331392,-1.20527524,-0.93071518,-3.256897732,-1.381555943,0.383161624,1.562345027,-0.008910604,-1.03917664
OA,STS230,-1.218221994,-1.35179183,1.788950896,0.844539713,2.069738136,1.467727392,2.007326754,-0.628683098,1.797673969,-1.059521767,1.423678702,-0.781231385,2.146118325,1.979992971,0.178317546,0.979060024,2.171186916,0.701555649,1.173236408,2.819827768,1.98074269,-2.052215974,0.112576502,-0.202565122,0.269216191,0.362716049,0.489716432,-0.509475537,-2.119051558,1.200160049,-0.659562092,1.418682201,-0.339556797,2.278758456,1.240220795,0.851871808,0.214749528,0.516174085,-3.347120574,2.399528695,-1.695543188,-1.414109828,-0.919743733,-2.832994391,-2.927980653,-0.219631009,-2.028679221,-2.745152267,-2.854011156,0.639094272,0.53666366,-2.40570113,0.472977869,4.124765777,-1.817059755,0.228586609,-1.908014269,-1.587256756,0.055780685,0.50525881,-1.832260334,0.840092671,-3.478950649,-0.190198774,-2.212078628,0.116505106,-3.756727765
OA,STS231,0.193982794,-3.12905961,-2.310612188,0.546620297,0.899872012,0.042774816,1.046091107,-2.324851868,0.272965335,-2.461671292,2.735818821,-0.433204592,0.994521791,-0.751694607,0.06813533,3.499700577,1.101526141,2.512808429,0.261976678,-1.053335908,1.322209809,-2.574342194,-0.251833663,-0.099691656,-0.685457753,0.398530822,1.642558293,-1.212083715,-0.236476646,-0.380308905,-2.512182156,0.422062389,3.511202342,-0.930759749,1.83298973,0.539187723,0.47144792,-0.07378452,-0.046130108,1.036538517,-2.279557555,0.969760157,4.136539538,-1.056585753,-1.240061559,-1.719707053,-1.691034249,-2.621966504,-0.313329542,-2.359804006,-1.026846851,1.379036436,-2.168647841,1.728604495,1.954252556,-1.057134012,-1.117974745,1.534037456,-1.816993457,0.273383593,-0.569555273,-0.663974134,-0.677942932,0.30086583,-0.427219841,-0.266366983,-0.434063571
OA,STS232,0.932063059,-0.78827886,4.076612826,-1.185226581,-0.132227712,-1.409124948,-0.123489931,-2.415820064,0.450761485,-0.081210034,0.140570278,-1.450263348,0.13513545,0.355019138,0.959281911,3.184752088,-0.144748295,-1.045436331,-0.743169275,-0.349406015,0.333124846,-0.706235424,1.182666598,-1.517300246,-1.822975614,-0.516597233,0.759051416,0.40835235,-0.216176997,-2.50773005,-1.985791422,0.346334813,0.822538597,-1.900490855,0.199634969,0.803226367,0.106096343,0.726326957,-0.069038568,2.01450675,0.287626742,0.86954475,-0.476058814,-2.094446616,-1.745101078,2.202367757,0.961027245,-1.49568978,-0.75929914,-2.059308383,0.659503554,-1.684665582,0.024895952,2.185194079,-1.34626533,-2.406564308,2.155351889,4.00818871,-0.167103423,-0.706739997,1.297380565,-0.922742881,1.646048638,0.867975115,-0.213236957,-0.043302659,0.094939405
OA,STS233,1.23555821,4.421435599,1.749216083,-0.326653052,1.03777974,1.137238213,0.690650534,1.752087632,1.852583387,4.790536069,0.973677972,1.754640319,0.551858612,0.735891787,0.999563279,1.84342486,0.670822806,0.233687966,1.173205849,0.343553908,0.5778644,4.81171901,2.683326219,3.93722277,1.721298429,0.912629317,0.430741355,3.619752612,3.037536653,2.6540454,5.809072017,0.989586601,0.380837673,0.553219044,-0.167348069,-2.01067121,-1.080980221,-0.841695561,0.922508251,-0.275587312,2.173469242,0.543906532,2.397522901,2.219289923,3.51517917,0.667551578,0.402130141,-0.65501906,-0.250703595,3.54067782,-1.049875561,-1.083399231,3.749187233,-1.362238893,-3.417223196,4.642258973,1.699031851,-0.314154909,5.398519602,3.476963453,1.209903487,2.023024372,1.308899448,-0.631840721,0.027271692,-1.80798789,-1.957592955
OA,STS234,-0.358992183,-0.670103303,1.797141758,1.392236162,1.248195958,0.069691745,1.048009916,1.506129941,-0.497283401,-1.626611701,1.618186182,1.770298345,1.610357137,1.224772106,2.645230594,1.254342545,1.129713479,0.490193784,1.451083064,2.639194854,0.944862249,-0.976045578,0.01456874,-0.603470209,1.817761276,0.836423124,-0.225615886,-0.869041561,-0.247169925,1.117108918,-1.13678679,1.179616832,1.769190145,2.123890777,3.024535227,-1.407734385,-1.083810349,-1.052867006,-0.5465801,-2.496201083,-2.771586606,1.535803925,2.378203518,-1.305909049,-1.7514413,-1.146294095,-2.964391144,1.733377445,-2.078143949,2.80144446,0.825954379,0.550719185,3.475670174,1.758042911,1.09387462,3.098114009,-0.327580484,-0.843954496,3.152964964,3.828184394,0.167838671,3.133763738,-1.042511657,-0.706601706,0.450830891,-1.290953246,1.575950525
OA,STS235,0.286786415,-2.491720487,-2.759578484,0.891729672,-0.245663762,0.352528606,0.255611277,0.559721961,0.9442136,-2.266235497,0.639283812,0.364601002,0.435467734,0.480823673,0.392824194,0.433957116,-0.220119149,-0.136348882,-0.504346624,1.653012195,0.187074856,-1.90406709,1.780052642,-0.638054767,-0.678693455,0.358184446,0.348642127,-0.792925848,-1.202213011,-1.010324033,-1.949344834,2.136319015,-1.14665253,1.650741946,0.860865075,0.345698785,0.66101168,0.471603545,-2.205781262,-1.663090319,-2.019855094,-2.644627947,-0.575308147,-2.614829376,-2.281785629,1.17184622,-2.404719839,-0.764551797,-0.210216542,0.143480698,-0.064952983,-0.011676218,-0.060317542,-0.997784227,-0.600900488,-0.824203005,-0.695011344,-0.521766329,-0.873099856,-1.322469781,-1.293308223,-0.696355734,-1.79666713,-1.027638631,-0.86244587,0.834298574,-0.352019904
OA,STS236,-0.135065118,1.420679406,0.441592179,0.116567866,0.677833722,2.175652595,0.809427954,2.805912922,2.073531621,0.864645256,1.172971388,-1.115797022,0.309254177,1.983783489,2.098784943,3.043017045,0.354924761,1.633056581,1.278100248,1.387282067,-0.021797785,0.139757722,0.5095234,0.714435452,1.847114848,1.884281882,0.139283518,1.1996933,-0.759620318,0.050294958,0.078114225,1.211457834,1.986981969,0.840355643,0.404238963,-3.012125312,-1.914092742,-1.761962187,-0.204137919,2.964415665,1.955890025,0.529466915,-0.816289276,1.934193278,1.895733371,3.241291728,-0.613603359,-0.638511012,-0.627417642,-0.825138367,-0.550286587,-0.898690047,-0.951845936,-1.71025917,-2.761844615,-0.220652439,2.041597863,-0.342490093,0.301003515,-0.925212726,1.856924112,-2.186213325,-1.240581581,-2.201575754,0.350691137,-2.428615592,-0.898685493
OA,STS237,-1.608466467,-1.082856086,0.712010411,1.526347163,1.343294431,1.43621121,1.40053468,2.14235391,-1.847982248,-0.380289793,-1.657068837,-2.694826681,1.09648496,-1.239083822,-1.101670234,0.146440101,0.98904022,1.106581455,1.478832861,-0.7970224,0.788525142,-0.982428923,-0.086421761,-0.382806541,-1.806120746,2.529920352,-2.492190991,-0.876251373,0.239810678,-1.623059391,-0.363692265,-1.034577499,-2.704791683,-1.321325753,-1.23784528,-2.447561173,-0.255223313,-1.756582331,-0.276984527,3.279844673,-0.449008215,1.859218566,0.466849474,-1.49833682,-1.48245684,-2.243563936,-2.166181166,-1.128997785,-1.552774999,3.650315572,1.354529086,-0.805772057,3.019641528,0.329154749,-0.394732353,1.531855461,0.165702739,-0.128664615,2.597985821,1.76049997,0.192586041,1.354611941,-2.09801711,-0.409824091,2.575851358,-1.50912226,3.600457072
OA,STS238,-0.173999047,-2.260842481,-1.097503799,1.539577957,1.254616637,1.081346628,1.279296478,0.620047906,-1.243148602,-1.623978449,1.56198709,-1.300760191,1.396570964,0.794264003,-0.010826349,1.59228478,1.300138549,2.251050146,1.097605136,-0.07053452,0.903811833,-1.812796617,-0.468312331,0.215990545,-0.914018647,0.410829554,-0.04416728,-0.691416413,0.740818476,-0.356259099,-0.97839842,-0.082406163,-0.339478617,-0.183080477,1.634284597,0.983879398,1.119281048,-0.326074451,-0.852570575,-1.549806479,-2.954826152,0.449409442,-0.571498717,-0.012442006,-0.532707246,-1.237681119,-0.772659143,-3.073364698,-0.363042608,-1.49615253,0.075027504,-0.509899741,-1.477278321,-1.036696052,-1.056588107,-1.166968738,-0.960970661,-0.512937077,-1.728734605,-0.184331951,0.486231377,-0.382343163,-0.119337693,-0.564971578,1.560930764,-1.065467442,0.409168929
OA,STS239,1.39166843,3.076804463,-5.83176648,0.971577418,0.785198748,-0.394977257,0.566718277,-0.641503622,-0.163963391,1.890585737,0.839503722,-0.670992501,0.220312422,-0.043455666,-1.046081989,1.456578091,1.279338917,1.211385609,-0.948489354,-0.500978336,0.844953633,3.768640168,-0.523482932,0.86146281,2.209629252,-0.910090556,-0.086416701,0.527160296,3.301736297,0.85634755,1.662379333,-0.25040959,-3.822800935,-1.832727379,-0.184107548,-0.549509446,0.561194189,0.77639489,0.476971218,3.13466562,0.528971395,0.180270785,-0.281672109,-1.992525107,-0.451182662,3.033999072,1.069010356,0.814098676,0.037598607,-2.992581433,-0.784113609,1.534799309,-0.900599491,-0.054380738,1.728594209,-0.151458226,0.581535139,2.89364693,-1.737388528,-2.006669141,1.521618866,-1.77356859,0.493681369,1.054980108,-1.430579379,-0.766306208,-2.599842432
OA,STS240,-0.315189797,-0.438635162,2.822405663,0.902062927,1.513066492,-0.972147098,1.681894936,-1.045028969,0.103345081,-0.093575955,0.32863055,-0.222652486,1.227898618,1.546620852,-1.377476627,-1.644339613,1.476273926,0.07511367,-1.246846104,0.509630788,1.613161386,0.374784563,0.027786373,0.375783974,4.851634449,-0.321299898,-0.516519443,-0.73032097,2.270847093,-0.365530233,-0.011462619,0.876185864,-2.450172708,2.539282273,1.136151426,-0.29597392,0.219941605,-0.179018548,-0.444601998,4.379180976,-0.883754905,1.931072257,0.567195543,-0.696742053,-1.932771833,-0.305432012,-0.358626562,-0.692594931,1.962811719,-1.867377587,0.104080076,0.987113099,-1.673391229,0.733599143,0.194354361,-1.548003093,-1.451306435,-2.047345999,-1.124851077,-1.588501264,-3.760629019,-1.139540518,-1.483847249,0.556662654,-2.447973548,1.000584806,-3.119862826
OA,STS241,1.510291137,3.671397912,0.33419596,-0.437221206,0.392830298,-0.656484367,0.109759552,-2.64926175,0.578827203,3.102570246,-0.783782583,1.40988189,0.155006329,-1.283680209,-1.932064616,-0.718677083,0.164008145,-0.773012299,-0.000635173,-0.742552967,0.284592632,3.354780201,0.347836201,3.335567169,2.380373301,-0.430930289,-0.525591668,1.978713993,1.560968992,1.85337325,4.085686728,-0.81417903,-0.646933935,-1.027476617,-1.114680981,2.824523867,-0.044900965,0.971535173,0.291676303,-1.172992329,-0.32206931,-0.400253123,-0.72917957,0.188242655,-0.995476229,-1.117888538,-0.618137643,0.63167514,-0.687121705,0.037936859,-1.085579075,-2.260383684,-0.386993834,-0.033268782,-1.250859186,-1.046403621,-0.828711293,-0.994091669,-0.299340892,0.600050104,1.299379591,0.845946886,-0.630216435,0.931482505,-2.185011633,-0.155247715,-1.942832239
OA,STS242,-2.406972177,2.509059154,-0.227966872,-0.177251769,1.56501435,0.296170902,1.124576372,-1.299455496,2.556035568,3.181186214,0.789254655,0.977931624,1.740674157,-0.704261512,1.98120212,0.770287276,1.933848805,0.387975238,1.905125627,0.461597309,1.296649998,1.879779448,0.607787631,1.37314553,1.086143081,0.728176219,1.204254467,1.055473859,1.875236646,2.433820593,5.328819567,0.971905048,1.522989353,0.513551777,-0.617685049,0.506026544,0.973680724,0.693715338,-0.789742784,-2.321389415,0.212127092,2.026311861,1.948911847,-0.765037633,-2.239965561,-0.834975928,0.019184514,-0.156006742,1.020007115,3.453200619,-2.034222698,-0.178152528,3.331640714,-0.6575375,4.443247764,3.433186077,-0.705533493,-2.455107739,3.453608301,2.915022626,2.191868828,3.612259591,1.55115767,0.579011803,-0.106324531,0.175999897,2.308484924
OA,STS243,0.350667635,-0.123120708,-5.229235494,0.833207361,-0.765066249,-1.129510594,-0.641806562,0.673640618,-0.356420023,0.488872397,0.523674928,1.449715998,-1.32384099,0.668260771,-2.167733386,1.476581183,-0.903642077,-0.127368729,-0.383816466,0.562358901,-0.191015973,-0.115610632,-1.091650912,-0.322024114,-1.564431774,-0.756707133,0.380700059,0.855812924,-1.790807663,0.330503154,0.569833784,1.816169378,-1.156930732,0.433701611,-0.597789607,-0.003629912,1.606082813,0.833358067,-2.642558439,-0.357649266,-1.969920471,-1.60208081,-1.509241534,-1.618216625,-1.3969285,-1.109404902,-1.130588373,-1.429198402,-0.401063593,1.929093849,0.576418357,-4.728245658,-0.382013154,-2.074643104,-1.448748711,-2.466884107,0.991695715,-2.806951219,-1.30821515,-0.943313239,-0.921945203,-0.979348246,-0.431697128,0.039089014,-2.975218556,-0.504560176,-2.41581113
OA,STS244,0.387736623,0.604281455,-3.498583874,-0.844206609,-1.228805137,-0.010327608,-1.447952707,-1.30968208,0.146046743,0.29714527,2.151648641,-0.069721878,-0.981554351,1.204048391,2.985519754,-0.048346244,-1.266175252,-0.659328057,0.975608964,2.52453643,-1.130987189,0.304087643,0.265481278,0.59522482,-1.235463052,-0.76810171,0.907359565,0.560003144,-1.13488628,-0.01356554,1.470377251,-0.016803888,0.608317385,2.547082138,2.404405739,1.019137688,0.212743748,-0.314988192,0.097811641,-1.410567082,-1.562366481,0.263788721,0.587019484,2.868266623,1.146007502,0.21246795,1.016732025,-3.096614072,3.765301382,2.002338955,0.734764733,1.523648433,1.880443279,2.901135162,1.852168891,1.348612355,2.156658479,0.625175103,1.669000079,1.447515642,-0.84257379,1.061670146,1.514535919,-0.02389369,1.047711385,0.79825039,3.248188754
OA,STS245,1.263403286,4.426715371,1.802361769,0.031595505,0.743431658,1.266908259,0.371924487,-0.178428189,1.193076775,3.902988063,-0.380596626,1.711052335,0.718257861,-0.575438515,-1.402881153,-0.032147483,0.643695166,-0.794684298,0.48129802,-0.868430603,1.113345527,3.288487952,-0.182617454,2.970324496,1.973056351,-0.657444343,0.408418,2.751574633,3.002559155,0.803196127,4.675430267,-1.826959253,-3.990310643,0.294517077,-0.927820111,-0.282957531,1.559340263,0.3244714,0.744646631,-2.493653093,0.83088198,3.829131021,-0.11233189,-0.000949519,0.665709393,-1.343924899,0.387700555,-2.95359825,0.30548653,0.090293,-1.18733772,-0.15557691,0.558790519,-0.700300186,0.333398271,0.137424872,0.231163364,0.417527494,0.56001158,1.175473674,-1.986521652,1.469505393,0.401824235,0.031031869,1.003701132,-0.23561956,-1.808089747
OA,STS246,1.49118312,0.46010679,-2.71842251,1.26272961,-0.204072911,-0.064411246,0.408689658,1.026149,1.601429509,-0.406812234,2.22445196,0.280224446,-0.241284458,1.416673135,2.111028767,1.132767626,0.41090925,1.921328662,-0.754478892,3.351647824,0.17877004,0.501637394,0.321130416,-0.7999563,0.204183988,-0.369735207,1.378240752,-0.428123068,0.819481758,1.363229025,1.593521227,2.502996072,-1.274714726,3.08733964,1.645386834,-1.599677924,-0.9196736,-0.126713527,-0.244669404,3.838330107,-0.093711034,-0.116425222,1.266630122,-2.507698128,-0.382192058,-1.021442897,-2.797966176,-2.373399518,-1.674200089,0.838649606,-2.808698783,1.206790138,0.438781271,0.277239605,1.220728011,0.040941838,-1.26391592,0.454173039,-0.219726027,-0.670241738,-0.362509115,1.494855513,-0.085586574,0.681130973,0.363419574,0.059736893,-2.813643325
